CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,city,state,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
"Aberdeen, SD",10100,2024,357,306,47,4,0,0,0,118,54,24,0,0,0,239,118,aberdeen,MARYLAND,18635.0,111.0,4.0,13.0,26.0,68.0,379.0,33.0,310.0,36.0,1.0
"Ada, OK",10220,2024,289,207,81,1,0,0,0,101,63,43,0,0,183,105,1,ada,MINNESOTA ,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adrian, MI",10300,2024,366,253,113,0,0,0,0,97,59,43,0,0,172,194,0,adrian,MICHIGAN,20113.0,115.0,0.0,28.0,6.0,81.0,482.0,77.0,379.0,26.0,5.0
"Akron, OH",10420,2024,341,216,123,2,0,0,0,108,71,45,0,0,175,166,0,akron,MICHIGAN,367.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Albany, GA",10500,2024,366,227,135,4,0,0,0,121,61,45,0,0,0,366,0,albany,CALIFORNIA,18735.0,26.0,0.0,2.0,10.0,14.0,467.0,56.0,355.0,56.0,5.0
"Albuquerque, NM",10740,2024,366,100,233,26,4,1,2,443,100,61,0,2,212,82,70,albuquerque,NEW MEXICO,558745.0,6603.0,103.0,349.0,890.0,5261.0,25863.0,4316.0,15864.0,5683.0,52.0
"Alexandria, LA",10780,2024,121,85,35,1,0,0,0,102,56,39,0,0,0,121,0,alexandria,KENTUCKY,10778.0,6.0,0.0,0.0,0.0,6.0,78.0,5.0,63.0,10.0,0.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2024,366,250,112,4,0,0,0,119,65,41,0,10,202,154,0,allentown,NEW JERSEY,1721.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,9.0,0.0,0.0
"Altoona, PA",11020,2024,366,296,70,0,0,0,0,100,58,37,0,0,209,157,0,altoona,IOWA,22422.0,32.0,0.0,2.0,3.0,27.0,451.0,26.0,398.0,27.0,0.0
"Amarillo, TX",11100,2024,364,265,96,3,0,0,0,138,67,44,0,0,306,58,0,amarillo,TEXAS,203039.0,1402.0,17.0,150.0,176.0,1059.0,5392.0,767.0,4096.0,529.0,58.0
"Americus, GA",11140,2024,244,228,16,0,0,0,0,84,49,38,0,0,244,0,0,americus,GEORGIA,15541.0,257.0,5.0,10.0,14.0,228.0,611.0,95.0,487.0,29.0,1.0
"Anchorage, AK",11260,2024,366,284,82,0,0,0,0,95,58,26,3,0,0,280,83,anchorage,ALASKA,286958.0,2912.0,27.0,462.0,479.0,1944.0,7937.0,910.0,5813.0,1214.0,87.0
"Ann Arbor, MI",11460,2024,366,253,113,0,0,0,0,87,61,43,0,0,212,154,0,ann arbor,MICHIGAN,118025.0,357.0,0.0,58.0,24.0,275.0,2025.0,185.0,1737.0,103.0,7.0
"Appleton, WI",11540,2024,366,291,75,0,0,0,0,99,57,37,0,0,157,209,0,appleton,MINNESOTA ,1358.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
"Ardmore, OK",11620,2024,363,217,132,14,0,0,0,143,74,48,0,0,190,173,0,ardmore,ALABAMA,1451.0,2.0,0.0,1.0,0.0,1.0,20.0,4.0,15.0,1.0,0.0
"Arkadelphia, AR",11660,2024,360,336,24,0,0,0,0,93,48,35,0,0,360,0,0,arkadelphia,ARKANSAS,10222.0,30.0,0.0,1.0,4.0,25.0,188.0,37.0,146.0,5.0,0.0
"Asheville, NC",11700,2024,366,219,146,1,0,0,0,101,62,48,0,0,179,187,0,asheville,NORTH CAROLINA,95219.0,758.0,12.0,82.0,108.0,556.0,3709.0,573.0,2815.0,321.0,30.0
"Ashtabula, OH",11780,2024,245,205,38,2,0,0,0,108,61,41,0,0,245,0,0,ashtabula,OHIO,17723.0,33.0,0.0,7.0,11.0,15.0,163.0,39.0,109.0,15.0,3.0
"Athens, OH",11900,2024,364,330,34,0,0,0,0,64,49,28,0,0,0,364,0,athens,ALABAMA,32862.0,80.0,2.0,3.0,6.0,69.0,680.0,91.0,531.0,58.0,1.0
"Atlanta-Sandy Springs-Roswell, GA",12060,2024,366,110,242,13,1,0,0,161,81,56,0,4,113,249,0,atlanta,TEXAS,5418.0,15.0,0.0,4.0,0.0,11.0,52.0,12.0,33.0,7.0,0.0
"Atlantic City-Hammonton, NJ",12100,2024,366,302,64,0,0,0,0,97,54,35,0,0,213,153,0,atlantic city,NEW JERSEY,38480.0,685.0,7.0,67.0,179.0,432.0,2400.0,236.0,1972.0,192.0,10.0
"Augusta-Richmond County, GA-SC",12260,2024,365,159,205,1,0,0,0,105,71,52,0,0,96,269,0,augusta,KANSAS,9247.0,26.0,0.0,4.0,1.0,21.0,163.0,22.0,130.0,11.0,2.0
"Austin-Round Rock, TX",12420,2024,366,156,203,7,0,0,0,141,80,52,0,3,126,235,2,austin,ARKANSAS,4204.0,9.0,0.0,3.0,0.0,6.0,21.0,5.0,15.0,1.0,0.0
"Bakersfield, CA",12540,2024,366,76,196,73,21,0,0,177,140,72,0,0,225,122,19,bakersfield,CALIFORNIA,416120.0,2308.0,28.0,170.0,523.0,1587.0,10277.0,2237.0,5239.0,2801.0,17.0
"Baltimore-Columbia-Towson, MD",12580,2024,366,215,139,11,1,0,0,154,77,47,0,2,203,161,0,baltimore,MARYLAND,566632.0,9101.0,197.0,326.0,3248.0,5330.0,23555.0,2968.0,14630.0,5957.0,116.0
"Bangor, ME",12620,2024,362,328,34,0,0,0,0,84,49,33,0,0,208,150,4,bangor,MAINE,31598.0,51.0,5.0,7.0,16.0,23.0,1339.0,98.0,1214.0,27.0,3.0
"Bartlesville, OK",12780,2024,318,182,128,7,1,0,0,156,74,47,0,0,193,125,0,bartlesville,OKLAHOMA,38361.0,141.0,1.0,38.0,11.0,91.0,815.0,189.0,565.0,61.0,11.0
"Bay City, MI",13020,2024,363,277,86,0,0,0,0,73,56,37,0,0,0,363,0,bay city,MICHIGAN,31908.0,180.0,2.0,34.0,11.0,133.0,596.0,79.0,443.0,74.0,11.0
"Beatrice, NE",13100,2024,307,224,83,0,0,0,0,70,56,35,0,0,0,307,0,beatrice,NEBRASKA,12272.0,10.0,1.0,3.0,0.0,6.0,101.0,16.0,75.0,10.0,2.0
"Beaumont-Port Arthur, TX",13140,2024,366,126,232,8,0,0,0,143,71,54,0,1,93,272,0,beaumont,CALIFORNIA,60294.0,123.0,0.0,11.0,22.0,90.0,614.0,77.0,478.0,59.0,5.0
"Beaver Dam, WI",13180,2024,366,297,69,0,0,0,0,84,54,38,0,0,251,115,0,beaver dam,KENTUCKY,3487.0,3.0,0.0,1.0,0.0,2.0,9.0,0.0,8.0,1.0,0.0
"Bellingham, WA",13380,2024,361,335,26,0,0,0,0,82,47,33,0,0,73,288,0,bellingham,MASSACHUSETTS,18099.0,39.0,0.0,8.0,4.0,27.0,189.0,12.0,166.0,11.0,1.0
"Bemidji, MN",13420,2024,366,308,54,3,1,0,0,177,55,36,0,0,170,196,0,bemidji,MINNESOTA ,15853.0,129.0,0.0,33.0,13.0,83.0,727.0,56.0,642.0,29.0,3.0
"Bend-Redmond, OR",13460,2024,366,258,89,12,7,0,0,176,78,39,0,0,83,283,0,bend,OREGON,106241.0,179.0,3.0,24.0,24.0,128.0,1447.0,137.0,1222.0,88.0,22.0
